변수명,유형,설명
SQ1,더미,"성별 (0=남, 1=여)"
SQ2s2,연속,만 나이
HQ_AGE,더미,"연령대 (1=16-19세, 2=20-22세)"
SQ3,미분류,
HQ_AREA,명목범주,"거주 권역 (1=서울, 2=경기, 3=인천, 4=충청/대전/세종, 5=전라/광주, 6=경상/부산/대구/울산, 7=강원/제주)"
A1,명목범주,"고교 유형 (1=일반고, 2=특성화, 3=특목, 4=국제/해외, 5=기타)"
A2,서열,진학 계획 (1=없음 ~ 5=서울소재대)
A3,명목범주,희망 전공 (1=인문사회 ~ 7=기타)
A4,명목범주,희망 직업 (1=공무원·교사 ~ 13=가정주부)
A5s1,리커트5,인기 (1=전혀X ~ 5=매우)
A5s2,리커트5,교사 관계 (1=전혀X ~ 5=매우)
A5s3,리커트5,학업 자신감 (1=전혀X ~ 5=매우)
A5s4,리커트5,운동 자신감 (1=전혀X ~ 5=매우)
A6_1,서열,"국어 내신 (1=최하 ~ 9=최상, 역코딩 완료)"
A6_2,서열,"수학 내신 (1=최하 ~ 9=최상, 역코딩 완료)"
A6_3,서열,"영어 내신 (1=최하 ~ 9=최상, 역코딩 완료)"
B1s1,더미,"아버지 부재 (이혼/사망, 0/1)"
B1s2,더미,"어머니 부재 (이혼/사망, 0/1)"
B2_1s1,더미,형/오빠 있음 (0/1)
B2_1s2,더미,누나/언니 있음 (0/1)
B2_1s3,더미,남동생 있음 (0/1)
B2_1s4,더미,여동생 있음 (0/1)
B2_2s1,연속,총 형제자매 수 (본인 포함)
B2_2s2,서열,본인 출생 순서
B3s1,리커트5,아버지 친밀도
B3s2,리커트5,아버지 존경
B3s3,리커트5,아버지 사회경제적 성취
B3s4,리커트5,아버지 전통적 가치관 (높을수록 전통적)
B3s5,리커트5,"아버지 정치성향 (높을수록 보수, 역코딩 완료)"
B4s1,리커트5,어머니 친밀도
B4s2,리커트5,어머니 존경
B4s3,리커트5,어머니 사회경제적 성취
B4s4,리커트5,어머니 전통적 가치관 (높을수록 전통적)
B4s5,리커트5,"어머니 정치성향 (높을수록 보수, 역코딩 완료)"
B5s1,리커트5,부모 미래 관심
B5s2,리커트5,부모 부부 사이
B5s3,리커트5,세대 상승 비관 (높을수록 비관적) ※역방향 문항 주의
B5s4,리커트5,부모와 정치 대화 빈도
B6s1,서열,아버지 학력 (1=고졸 ~ 6=대학원)
B6s2,서열,어머니 학력 (1=고졸 ~ 6=대학원)
B7s1,명목범주,아버지 직업 (1=공무원·교사 ~ 13=가정주부)
B7s2,명목범주,어머니 직업 (1=공무원·교사 ~ 13=가정주부)
B8s1,명목범주,"본인 종교 (1=없음, 2=개신교, 3=천주교, 4=불교, 5=기타)"
B8s2,명목범주,아버지 종교
B8s3,명목범주,어머니 종교
C1s1,리커트5,정치정보 경로: 뉴스 (1=전혀X ~ 5=매우자주)
C1s2,리커트5,정치정보 경로: 유튜브
C1s3,리커트5,정치정보 경로: 온라인 커뮤니티
C1s4,리커트5,정치정보 경로: SNS
C1s5,리커트5,정치정보 경로: 또래 친구
C1s6,리커트5,정치정보 경로: 부모님
C1s7,리커트5,정치정보 경로: 종교 시설
C2,리커트5,본인 정치성향 (1=매우진보 ~ 5=매우보수)
C3,리커트5,계엄 평가 (1=전혀바람직X ~ 5=매우바람직)
C3_1,더미,계엄 관련 민주주의 수업 경험 (0/1)
C3_2,더미,가짜뉴스 검증 수업 경험 (0/1)
C4,명목범주,"대선 투표 의향 (1=이재명, 2=김문수, 3=이준석, 4=권영국)"
C5s1,리커트5,"여성차별 부정 (높을수록 보수, 역코딩 완료)"
C5s2,리커트5,여성 징병 찬성 (높을수록 보수)
C5s3,리커트5,여가부 폐지 (높을수록 보수)
C5s4,리커트5,"동성애자 권리 부정 (높을수록 보수, 역코딩 완료)"
C5s5,리커트5,조선족·중국인 부정적 (높을수록 보수)
C5s6,리커트5,"이민 확대 반대 (높을수록 보수, 역코딩 완료)"
C5s7,리커트5,부정선거 의심 (높을수록 보수)
C5s8,리커트5,"고소득 증세 반대 (높을수록 보수, 역코딩 완료)"
C5s9,리커트5,노력>환경 (높을수록 보수)
C5s10,리커트5,시험선발 공정 (높을수록 보수)
